Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Mahony, James B",,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Evaluation of a Novel Chlamydia Vaccine Based on Type III Secretion Proteins,159000,0,1,159000,1,Infection and Immunity,INFECTIOUS AND PARASITIC; INFERTILITY FEMALE; HEALTH RESEARCH; BACTERIOLOGY,2014-10-01,1,2015-09-30,"Chlamydia, Vaccine, Secretion Proteins",1,1
"Mahuran, Don J",Zywie LLC,,1,,,,,,,,,,,,,,,,,,,,Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Treating Parkinson's Disease with Drugs that Increase Lysosomal B-Glucocerebrosidase Activity,157606,0,1,157606,1,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; MENTAL AND BEHAVIOURAL DISEASES; NERVOUS SYSTEM; BIOCHEMISTRY,2012-04-01,1,2013-03-31,"Parkinson's, Lysosomal, B-Glucocerebrosidase",2,2
"Malouin, Franeois","Ulysses Pharmaceuticals Products, Inc.",,1,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Riboswitch ligand inhibitors for MRSA and staphylococci / Ligands de riboregulateurs agissant comme antibiotiques contre le SARM et les staphylocoques,157350,0,1,157350,1,Infection and Immunity,INFECTIOUS AND PARASITIC,2013-04-01,1,2014-03-31,"riboswitch, ligands, antibiotics",0,0
"Martin, Ruth E",,,0,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,"Swallowing Air-Pulse Therapy (SWAPT): Design Specification, Testing, Regulatory Approval, and Pre-launch Market Analysis",250000,0,1,250000,1,Aging,"STROKE, HEART FAILURE; MUSCULO SKELETAL; AGING; DENTAL SCIENCE - Oral Biology",2009-07-01,1,2010-06-30,"Air-Pulse, Swallowing, Therapy",7,7
"Martineau, Paul A",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,POROUS COMPRESSION SCREW for FRACTURE FIXATION,155375,0,1,155375,1,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; HEALTH CARE DELIVERY; HEALTH RESEARCH; MUSCLE, BONE, OR JOINT",2011-04-01,1,2012-03-31,"porous, compression, screw",2,2
"Mcalpine, Jessica N",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,PROMISE: A Proactive Molecular-Based Classification Tool to Improve Endometrial Cancer Management,160000,0,1,160000,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2016-04-01,1,2017-03-31,"Molecular, Classification, Endometrial Cancer",1,1
"McNagny, Kelly M",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CD34 as a therapeutic target for allergic asthma,160000,0,1,160000,1,Infection and Immunity,ASTHMA; RESPIRATION; IMMUNOLOGY-TRANSPLANTATION,2010-10-01,1,2011-09-30,"CD34, allergic asthma, therapeutic",0,0
"Meek, Robert N",CurvaFix Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Minimally Invasive Curved Intramedullary Fixation (MICIF) for pelvic bone fractures,300000,0,1,300000,1,Health Services and Policy Research,"NONE OF THE ABOVE; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",2013-10-01,1,2014-09-30,"Intramedullary, Fixation, Pelvic",4,4
"Meloche, Sylvain",,,0,,,,,,,,,,,,,,,,,,,,Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Targeting the degradation of the cyclin-dependent kinase inhibitor p21 as a novel approach to cancer therapy,160000,0,1,160000,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-04-01,1,2012-03-31,"cyclin-dependent kinase, p21, cancer",1,1
"Mes-Masson, Anne-Marie",,,0,,,,,,,,,,,,,,,,,,,,Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Development and validation of a multiplex blood-based assay for the early detection of ovarian cancer.,160000,0,1,160000,1,Cancer Research,GENITO/URINARY SYSTEM; NEOPLASMS; CANCER; HEALTH RESEARCH,2010-10-01,1,2011-09-30,"multiplex, blood-based, ovarian cancer",0,0
"Minchinton, Andrew I",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201903PJT,Commercialization,Hypoxia-activated DNA repair inhibitors to improve cancer therapy,573750,0,3,1078650,7,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2019-10-01,1,2022-09-30,"hypoxia, DNA repair, inhibitors",2,2
"Minchinton, Andrew I",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Development of clinical candidate hypoxia-activated DNA-PK inhibitors,979200,0,4,,,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2024-04-01,1,2028-03-31,"hypoxia, DNA-PK, inhibitors",0,
"Mishra, Ram K",,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,A novel dopamine D2 receptor allosteric modulator: Development and commercialization of a safer more effective generation of antipsychotic drugs,146850,0,1,146850,1,"Neurosciences, Mental Health and Addiction",SCHIZOPHRENIA; PARKINSON'S DISEASE; MENTAL HEALTH; BIOCHEMISTRY,2011-10-01,1,2012-09-30,"dopamine D2 receptor, allosteric modulator, antipsychotic",2,2
"Moreau, Alain",Inception Therapeutic Inc.,,1,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Methods of Diagnosing Idiopathic Scoliosis and related Spinal Disorders,250000,0,1,570000,3,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; MOLECULAR BIOLOGY",2009-07-01,1,2010-06-30,"Diagnosing, Scoliosis, Spinal Disorders",13,13
"Moreau, Alain",,,,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Methods of Diagnosing Primary Osteoarthritis,160000,0,1,,,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; CELL BIOLOGY",2011-04-01,1,2012-03-31,"diagnosing, osteoarthritis, primary",3,
"Moreau, Alain",,,,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Validation of a Disease-Modifying Osteoarthritis Drug,160000,0,1,,,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",2015-04-01,1,2016-03-31,"Osteoarthritis, Drug, Validation",0,
"Mossman, Karen L",,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Project Grant,202104PJT,Commercialization,Clinical development of oncolytic BHV-1 for cancer therapy,504900,0,3,504900,3,Cancer Research,Commercialization-Intellectual Property; Commercialization-Industry Research & Development; Cancer-Cancer Drug Development and Therapeutics,2021-10-01,1,2024-09-30,"oncolytic, BHV-1, cancer",0,0
"Mueller, Christopher R",,,0,,,,,,,,,,,,,,,,,,,,"Queen's University (Kingston, Ontario)",Ontario,Project Grant,202209PJT,Commercialization,Using a Liquid Biopsy to Optimize Metastatic Breast Cancer Treatment,891226,0,3,891226,3,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology; Commercialization-Industry Research & Development,2023-04-01,1,2026-03-31,"Liquid biopsy, metastatic breast cancer",1,1
"Nanthakumar, Kumaraswamy",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Novel Mapping Methodology for Identifying Arrhythmia Circuit.,158375,0,1,158375,1,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR,2014-04-01,1,2015-03-31,"Mapping, Arrhythmia, Circuit",9,9
"Nazhat, Showan N",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Injectable dense collagen-silk fibroin derived polypeptide hydrogels for bone regenerative therapy,156393,0,1,156393,1,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCLE, BONE, OR JOINT; AGING",2013-04-01,1,2014-03-31,"collagen, fibroin, hydrogels",4,4
"Ndao, Momar",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bridging the Gap Between Mass Spectrometric Profiling and Practical Diagnostic Tests for Commercialization: Case of Chagas Disease,150000,0,1,150000,1,Infection and Immunity,"INFECTIOUS AND PARASITIC; PARASITIC; HEALTH RESEARCH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-01-01,1,2009-12-31,"Mass spectrometry, diagnostics, Chagas disease",1,1
"Nepveu, Alain",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Validation of the CUX1 Expression Signature as an RT-PCR-Based Prognostic Tool,159950,0,1,159950,1,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,2011-04-01,1,2012-03-31,"CUX1, RT-PCR, Prognostic",1,1
"Olson, David M","Livmor Therapeutics, Inc., Maternica Therapeutics, Inc.",,2,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Project Grant,202003PJT,Commercialization,Integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic,558450,0,3,558450,3,"Human Development, Child and Youth Health",Commercialization-Industry Research & Development; Reproduction and Development-Fertility and Maternal Health,2020-10-01,1,2023-09-30,"preterm birth, diagnostic, therapeutic",5,5
"Ostrowski, Mario A",,,0,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bioreactor-based large scale production of a Tim-3 pathway inhibitor as a novel immunotherapy against HIV-1 and other chronic viral infections,150000,0,1,150000,1,Infection and Immunity,AIDS; INFECTIOUS AND PARASITIC; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,2009-01-01,1,2009-12-31,"Bioreactor, Tim-3 pathway, immunotherapy",0,0
"Paganelli, Massimiliano",Morphocell Technologies Inc.,,1,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,201809PJT,Commercialization,Stem cell-derived Encapsulated Liver Tissue to treat liver failure without immunosuppression: technology maturation towards clinical translation,497249,0,3,497249,3,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Commercialization-Technology Transfer",2019-04-01,1,2022-03-31,"stem cells, encapsulation, liver tissue",3,3
"Park, Morag",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Generation of a gene expression-based breast cancer prognostic device,73500,0,1,73500,1,Cancer Research,"BREAST CANCER; BREAST CANCER THERAPY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-07-01,1,2010-06-30,"gene expression, breast cancer, prognostic",1,1
"Pearson, Christopher E",,,0,,,,,,,,,,,,,,,,,,,,Hospital for Sick Children (Toronto),Ontario,Project Grant,202309PJT,Commercialization,Pre-clinical studies of a small-molecule to reverse neurodegenerative disease-causing mutations for its commercialization and application,719101,0,3,719101,3,Genetics,Commercialization-Technology Transfer; Genetics-Molecular and Functional Genetics and Epigenetics,2024-04-01,1,2027-03-31,"small-molecule, neurodegenerative, mutations",0,0
"Pelletier, Jerry M",Phagetech,,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Chemotherapeutic Agents for Inhibiting Protein Synthesis,160000,0,1,160000,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30,"Chemotherapeutic, Protein Synthesis, Inhibition",1,1
"Petkovich, Martin",Cytochroma Inc.,,1,,,,,,,,,,,,,,,,,,,,"Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Blocking RA Metabolism: A safer approach to retinoid therapy in skin disease,135557,0,1,135557,1,"Nutrition, Metabolism and Diabetes",SKIN AND SUBCUTANEOUS TISSUS; METABOLISM AND NUTRITION; DRUG RESEARCH; BIOCHEMISTRY,2012-04-01,1,2013-03-31,"RA, metabolism, skin disease",15,15
"Petrecca, Kevin",Reveal Surgical (Was ODS Medical),,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Identification of Novel Compounds Inhibiting Brain Cancer Invasion,120775,0,1,120775,1,Cancer Research,BRAIN TUMORS THERAPY; NEOPLASMS; CANCER; DRUG RESEARCH,2011-04-01,1,2012-03-31,"Compounds, Brain Cancer, Invasion",2,2
"Philip, Anie",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,150000,0,1,150000,1,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,2010-04-01,1,2011-03-31,"peptide, CD109, anti-scarring",1,1
"Pinto, Mario",Mimos Therapeutics Inc.,,1,,,,,,,,,,,,,,,,,,,,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,An Enzyme Inhibitor for Treating Type-2 Diabetes,150000,0,1,150000,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,2009-01-01,1,2009-12-31,"enzyme, inhibitor, diabetes",2,2
"Poirier, Donald",Neolyspharma,,1,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,L'evaluation du potentiel therapeutique in vivo d'une nouvelle famille d'aminosteroides comme agents anticancereux selectifs,149703,0,1,773339,6,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2010-04-01,1,2011-03-31,"aminosteroides, anticancereux, in vivo",0,4
"Poirier, Donald",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la 17beta-HSD3 e bloquer la croissance de tumeurs xenogreffees du cancer de la prostate,157880,0,1,,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,2012-10-01,1,2013-09-30,"17beta-HSD3, inhibiteur, prostate",1,
"Poirier, Donald",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la steroede sulfatase combinant des proprietes osteogenique et antiestrogenique pour le traitement des cancers du sein et de la prostate,159756,0,1,,,Cancer Research,BREAST CANCER THERAPY; OSTEOPOROSIS; CANCER; DRUG RESEARCH,2014-04-01,1,2015-03-31,"steroide sulfatase, osteogenique, cancer",0,
"Poirier, Donald",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Optimisation du potentiel therapeutique de derives aminosteroedes contre le cancer de l'ovaire,157700,2300,1,,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2016-04-01,1,2017-03-31,"aminosteroids, ovarian cancer, therapeutic potential",1,
"Poirier, Donald",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Demonstration de l'efficacite du premier inhibiteur irreversible et selectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogenes,279226,0,2,,,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,1,2020-03-31,"17beta-HSD1, inhibitor, breast cancer",2,
"Powell, William S",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of novel OXE receptor antagonists for asthma,146000,0,1,439133,2,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,1,2010-06-30,"OXE receptor, antagonists, asthma",2,2
"Powell, William S",,,,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,Development of novel OXE receptor antagonists for asthma,293133,0,1,,,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,1,2010-06-30,"OXE receptor, antagonists, asthma",2,
"Pratt, Christine M",,,0,,,,,,,,,,,,,,,,,,,,University of Ottawa,Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,156060,0,1,156060,1,Gender and Health,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; ENDOCRINOLOGY; DRUG RESEARCH; HEALTH RESEARCH,2012-10-01,1,2013-09-30,"A-CD estrogens, hormone replacement",1,1
"Prentki, Marc",,,0,,,,,,,,,,,,,,,,,,,,Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Validation of a glycerolipid/ free fatty acid cycling enzyme as a novel therapeutic target for type-2 diabetes,157925,0,1,157925,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; DRUG RESEARCH,2011-10-01,1,2012-09-30,"glycerolipid, fatty acid, enzyme",4,4
"Putnins, Edward E",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,160000,0,1,160000,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH,2014-10-01,1,2015-09-30,"MAO B, Inhibitors, Epithelial Barrier",1,1
"Qadura, Mohammad",Arterial Solutions,,1,,,,,,,,,,,,,,,,,,,,Unity Health Toronto,Ontario,Project Grant,202109PJT,Commercialization,Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,428400,0,4,428400,4,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2022-04-01,1,2026-03-31,"artery, diagnosis, peripheral arterial disease",0,0
"Rak, Janusz",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,150000,0,1,150000,1,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,2009-01-01,1,2009-12-31,"malignant tumors, blood-borne, epidermal growth factor receptor",4,4
"Reiner, Neil E",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,INDEL therapeutics for the treatment of infectious disease.,250000,0,1,250000,1,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; DRUG RESEARCH",2009-01-01,1,2009-12-31,"INDEL, therapeutics, infectious disease",1,1
"Rennie, Paul S",Paradigm Biopharmaceuticals Ltd,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,Androgen receptor inhibitors,150000,0,1,150000,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; ENDOCRINOLOGY; CANCER; DRUG RESEARCH,2009-07-01,1,2010-06-30,"Androgen receptor, inhibitors",10,10
"Reynolds, Steven C","Lungpacer Medical, Inc.",,1,,,,,,,,,,,,,,,,,,,,"Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Phase 1 Trial of a novel transvenous phrenic nerve pacer for diaphragm activation in mechanically ventilated critically ill patients.,158464,1536,1,430499,2,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,2013-04-01,1,2014-03-31,"phrenic nerve, pacer, diaphragm",2,2
"Reynolds, Steven C",,,,,,,,,,,,,,,,,,,,,,,"Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,"Development of a novel, temporary, transcutaneously placed, transvenous phrenic nerve pacer for diaphragm activation in critically ill patients",268499,2000,1,,,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,2015-04-01,1,2016-03-31,"phrenic nerve, transvenous, diaphragm",2,
"Richter, Martin",,,0,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Matriptase Inhibitors as a Novel Class of Influenza Antivirals,143827,0,1,143827,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2012-04-01,1,2013-03-31,"Matriptase, Inhibitors, Influenza",2,2
"Riddell, Michael C",Zucara Therapeutics Inc.,,1,,,,,,,,,,,,,,,,,,,,"York University (Toronto, Ontario)",Ontario,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,160000,0,1,160000,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; METABOLISM/DIABETES,2011-10-01,1,2012-09-30,"pharmaceutical, hypoglycemia, insulin",1,1
"Roberge, Michel",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Evaluation of the anticancer activity of a new autophagy-inhibitory drug,142989,0,1,453048,3,Cancer Research,BREAST CANCER THERAPY; LUNG CANCER THERAPY; CANCER; BIOCHEMISTRY,2010-04-01,1,2011-03-31,"autophagy, anticancer, inhibitor",0,2
"Roberge, Michel",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,160000,0,1,,,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,2014-04-01,1,2015-03-31,"M2 Channel, Inhibitor, Influenza",0,
"Roberge, Michel",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,150059,0,1,,,Genetics,MULTIPLE DISEASE RELEVANCE; CANCER THERAPY GENERAL; CANCER; GENETICS,2016-04-01,1,2017-03-31,"gentamicin, genetic diseases, cancer",2,
"Rogers, Ian M",,,0,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Cell therapy for the treatment of type 1 Diabetes,150000,0,1,310000,2,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES,2010-04-01,1,2011-03-31,"Cell, therapy, Diabetes",1,1
"Rogers, Ian M",,,,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,160000,0,1,,,Circulatory and Respiratory Health,NONE OF THE ABOVE; CORONARY CIRCULATION (INCL. INSUFFICIENCY); NOT CLASSIFIED; CARDIOVASCULAR,2011-04-01,1,2012-03-31,"Stem cells, Vascular disease, Peripheral",1,
"Rosenberg, Lawrence",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A Novel Regenerative Drug Therapy to Restore Natural Insulin Secretion in Diabetes Mellitus,122670,0,1,122670,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; METABOLISM/DIABETES,2013-04-01,1,2014-03-31,"Regenerative, Insulin, Diabetes",1,1
"Ross, Ruth A",,,0,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,157999,0,1,503519,3,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; ARTHRITIS/OSTEOARTHRITIS; DRUG RESEARCH; AGING,2013-04-01,1,2014-03-31,"Small Molecule, Allosteric Modulators, Pain",2,2
"Ross, Ruth A",,,,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,Development and Commercialisation of Allosteric Modulators for the Treatment of Pain,189920,0,1,,,Musculoskeletal Health and Arthritis,MULTIPLE DISEASE RELEVANCE; MUSCULO SKELETAL,2015-04-01,1,2016-03-31,"Allosteric, Modulators, Pain",2,
